interests,category
"чтение классической литературы","Книги"
"люблю фантастику и научпоп","Книги"
"поэзия и проза","Книги"
"остросюжетные детективы","Книги"
"современная философия","Книги"
"занятия бегом на улице","Спорт"
"йога и пилатес","Спорт"
"игры на приставке","Электроника"
"новые технологические гаджеты","Электроника"
"слушаю музыку каждый день","Электроника"
"архитектура и дизайн","Дом"
"уют и декор дома","Дом"
"растения в интерьере","Дом"
"мультиварки и кухонная техника","Бытовая техника"
"кофеварки и чайники","Бытовая техника"
"сборка роботов и электроники","Электроника"
"рисование акварелью","Творчество"
"скульптура и лепка","Творчество"
"вышивка крестиком","Творчество"
"фотография и камеры","Электроника"
"гаджеты для дома","Бытовая техника"
"автозвук и колонки","Электроника"
"фитнес-клуб и тренировки","Спорт"
"велопоездки на природе","Спорт"
"путешествия и палатки","Дом"
"собираю пазлы","Творчество"
"играю на гитаре","Творчество"
"пение и музыка","Творчество"
"выпечка и рецепты","Бытовая техника"
"книги по саморазвитию","Книги"
"компьютерные игры","Электроника"
"настольные игры","Творчество"
"сделать ремонт в квартире","Дом"
"электронные книги","Электроника"
"походы и кемпинг","Дом"
"спортзал и тренажёры","Спорт"
"модели самолётов","Творчество"
"ручная работа и DIY","Творчество"
"здоровое питание и блюда","Бытовая техника"
"медитация и релакс","Дом"
"дайвинг и плавание","Спорт"
"автомобильная аудиосистема","Электроника"
"люблю детские книги","Книги"
"садоводство и огород","Дом"
"керамика и гончарное ремесло","Творчество"
"линзы и фотоаксессуары","Электроника"
"ремонт велосипедов","Спорт"
"чайные церемонии","Дом"
"графический дизайн и Photoshop","Электроника"
"шитьё и вязание","Творчество"
"бариста и латте-арт","Бытовая техника"
"лежу на пляже и загораю","Дом"
"учусь программировать","Электроника"
"путешествие на горные лыжи","Спорт"
"архивные фотографии","Творчество"
"электрощиты и монтаж","Дом"
"финансовые книги","Книги"
"бокс и единоборства","Спорт"
"сборка моделей кораблей","Творчество"
"робототехника в школе","Электроника"
"средневековая литература","Книги"
"организация мероприятий","Дом"
"минимализм в интерьере","Дом"
"туристическая навигация","Спорт"
"эспрессо дома","Бытовая техника"
"люблю настольные ролевые игры","Креатив"
"учусь вязать шарфы","Креатив"
"смотрю кулинарные шоу","Дом"
"планирую поход в горы","Спорт"
"занимаюсь фитнесом дома","Спорт"
"интересуюсь робототехникой","Электроника"
"люблю читать биографии","Книги"
"хочу научиться играть на пианино","Креатив"
"мои любимые фильмы — фантастика","Электроника"
"поездки на велосипеде по выходным","Спорт"
"разбираюсь в фотографии","Электроника"
"коллекционирую виниловые пластинки","Электроника"
"унюют и свечи в интерьере","Дом"
"собираю конструкторы Lego","Креатив"
"занятия тайцзи","Спорт"
"часами слушаю подкасты","Электроника"
"собираю старинные книги","Книги"
"люблю собирать пазлы на 2000 деталей","Креатив"
"готовлю по рецептам японской кухни","Бытовая техника"
"делаю скрапбукинг","Креатив"
"занятие йогой по утрам","Спорт"
"модельная аэрография","Креатив"
"собираю модели поездов","Креатив"
"люблю кроссворды и судоку","Креатив"
"путешествие на байдарках","Отдых"
"увлекаюсь аквариумистикой","Дом"
"ремонт электронных плат","Электроника"
"чтение комиксов","Книги"
"садоводство — выращиваю томаты","Дом"
"вышивка крестиком","Креатив"
"занимаюсь пилатесом","Спорт"
"люблю настольный теннис","Спорт"
"делаю 3D-печать моделей","Электроника"
"коллекционирую монеты","Креатив"
"готовлю итальянскую пасту","Бытовая техника"
"делаю домашние косметические маски","Дом"
"мои хобби — каллиграфия","Креатив"
"смотрю документальные фильмы","Электроника"
